papel,cotacao,pl,pvp,psr,dy,pa,pcg,pebit,pacl,evebit,evebitda,mrgebit,mrgliq,roic,roe,liqc,liq2m,patrliq,divbpatr,c5y
BDLL3,10.2,0.25,-0.15,0.599,0.0,0.025,0.98,-0.36,-0.03,-3.84,-4.12,-1.6712,2.4127,-0.0724,-0.5932999999999999,1.06,179.02,-110715000.0,-1.51,-0.2634
BDLL4,9.2,0.22,-0.13,0.541,0.0,0.022,0.88,-0.32,-0.03,-3.8,-4.08,-1.6712,2.4127,-0.0724,-0.5932999999999999,1.06,1200.68,-110715000.0,-1.51,-0.2634
BECE3,9.1,-3.42,8.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.552,0.0,0.0,96496000.0,0.0,0.1281
BECE4,8.75,-3.29,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.552,0.0,0.0,96496000.0,0.0,0.1281
BEEF3,10.12,9.42,12.13,0.198,0.0555,0.287,1.27,2.58,-0.84,5.4,4.6,0.0768,0.021099999999999997,0.22,1.2875,1.6,118067000.0,506828000.0,27.16,0.1911
BEES3,6.26,5.99,0.97,0.0,0.09449999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16219999999999998,0.0,97810.8,2035290000.0,0.0,0.0891
BEES4,7.2,6.89,1.12,0.0,0.0821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16219999999999998,0.0,32480.4,2035290000.0,0.0,0.0891
BELG3,1375.5,0.36,0.07,0.063,0.0,0.044,0.29,0.23,2.6,0.41,0.41,0.27699999999999997,0.1946,0.22039999999999998,0.1859,1.97,0.0,13495400000.0,0.17,0.48469999999999996
BELG4,1370.0,0.36,0.07,0.062,0.0,0.044,0.29,0.23,2.59,0.4,0.4,0.27699999999999997,0.1946,0.22039999999999998,0.1859,1.97,0.0,13495400000.0,0.17,0.48469999999999996
BEMA3,10.8,15.32,1.22,1.293,0.0,0.808,3.18,14.34,11.45,14.43,8.11,0.0901,0.08439999999999999,0.0696,0.0795,2.66,0.0,457342000.0,0.19,0.1058
BERG3,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.49,-10.49,-0.086,-0.326,-0.0558,-1.0271,0.46,0.0,9538000.0,2.86,-0.08
